organisation_id,territory_name,organisation_vertical,n_days,date_min,date_max,total_spend,total_target,n_active_channels,active_channels,spend_cv,target_cv,spend_target_corr,log_spend_range,score
3fb90b66bd509e5c19fb5353d34fae3f,All Territories,Apparel,1227,2019-10-27,2023-03-06,1883507.1978442988,254906,7,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'google_display_spend', 'meta_facebook_spend', 'meta_instagram_spend', 'meta_other_spend']",0.46557455508716095,0.6653954167975146,0.46431616471516335,5.02723700617848,0.5110379131471372
c5fbe353800204351f2768f90d703b38,All Territories,Apparel,571,2022-10-28,2024-05-20,9783861.218000142,107652,4,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'meta_facebook_spend']",0.6348323906459419,1.07215346170057,0.8016544998229419,3.8841387701082724,0.5055044319583643
429c8d00704a9ef6307b49f22d5dfade,Canada,Business & Industrial,1223,2021-01-14,2024-05-20,691832.3500000001,43178,3,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend']",0.7960471886394085,1.0748901293574231,0.5361970067046216,6.275229797326062,0.5050783268719007
3ddd831572f29d3ccdc0c731691e5e07,All Territories,Travel,1166,2021-03-20,2024-05-28,384112.57087962714,13449,4,"['google_paid_search_spend', 'google_shopping_spend', 'google_display_spend', 'meta_facebook_spend']",0.53688636866268,0.5645684981972066,0.5477164285810321,7.548428434553264,0.5044798646981448
429c8d00704a9ef6307b49f22d5dfade,UK,Business & Industrial,891,2021-12-12,2024-05-20,1705414.5,170203,5,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'meta_facebook_spend', 'meta_instagram_spend']",0.3811666288757987,0.4868726470501144,0.6257205156671352,2.890546718234993,0.5030458387185028
b264e0f09c25d4b3c6cad60ff87b9b30,All Territories,Apparel,683,2022-02-08,2023-12-22,222892.7313473946,13209,5,"['google_paid_search_spend', 'google_pmax_spend', 'meta_facebook_spend', 'meta_instagram_spend', 'meta_other_spend']",0.8875955823438128,1.3340553491271416,0.5463707627782138,4.079417307118954,0.5001864923790962
058b38dc1b5a87a8d9338196cd024d47,UK,,458,2022-03-30,2023-06-30,733996.74,54283,7,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'google_display_spend', 'meta_facebook_spend', 'meta_instagram_spend', 'meta_other_spend']",0.5141397777513865,0.5343364017643233,0.7727026336743502,2.578042265329148,0.4986159729031433
7569a6a9c156a0f9398fa6cfd51df5bb,Canada,Food & Drink,821,2021-10-15,2024-01-13,390721.12,15334,5,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'meta_facebook_spend', 'tiktok_spend']",0.6815440304215112,0.5385763513957278,0.5414849877227507,5.0639339487054515,0.49781863151203176
429c8d00704a9ef6307b49f22d5dfade,Hong Kong,Business & Industrial,913,2021-11-19,2024-05-19,798890.72,18840,3,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend']",1.281260032812409,1.4253145882345437,0.49765422193662473,5.055088648027006,0.4977763532431535
ba773ebd7ec0a08f1d042187d086ccb4,Hong Kong,Business & Industrial,927,2021-11-19,2024-06-02,831814.1599999999,19153,3,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend']",1.2575514634613403,1.4131239776977087,0.491717455640851,5.055088648027006,0.4956233242148599
